id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49929190,Estudio para viajes cortos cercano a corporativos,360931731,Eduardo,,Cuajimalpa de Morelos,19.36,-99.27754,Entire home/apt,1214,1,75,2022-12-12,3.83,25,365,38,
49929478,Hermosa Suite Privada a pasos de Reforma,283815293,Veronica,,Cuauhtémoc,19.43207,-99.15406,Entire home/apt,399,1,8,2022-01-19,0.56,8,0,2,
50044148,Private room in Polanco / Lomas de Chapultepec,125078776,Ilse,,Miguel Hidalgo,19.42974,-99.20241,Private room,672,1,66,2022-12-18,3.87,2,360,52,
50159506,Departamento cómodo muy cercano al aeropuerto,260630677,Gustavo Antonio,,Venustiano Carranza,19.42256,-99.08918,Entire home/apt,403,1,79,2022-12-14,4.14,5,334,44,
50045244,Cozy loft in the heart of Polanco with parking!,2166057,Alejandra,,Miguel Hidalgo,19.429928,-99.181793,Entire home/apt,800,2,41,2022-12-15,2.13,1,359,20,
49930137,Habitación independiente con TV y baño,37169395,Sofia,,Miguel Hidalgo,19.44878,-99.21838,Private room,390,2,6,2022-12-21,0.32,1,355,4,
50047369,Depto de 174 m2 con increíble terraza privada,385129301,Haydeé,,Coyoacán,19.30081,-99.11106,Entire home/apt,1161,2,17,2022-01-16,0.89,3,162,2,
49931142,Sonder Casa Tais | Habitación Superior King,285765094,Sonder (Mexico City),,Miguel Hidalgo,19.43161,-99.19655,Private room,1273,2,18,2022-12-01,1.01,38,350,11,
49932281,Hermosa y tranquila habitación a 5mins de Santa Fe,48796070,Ingrid Victoria,,Álvaro Obregón,19.34169,-99.2602,Private room,700,2,0,,,2,167,0,
50168715,Deluxe,404885958,Hippodrome,,Cuauhtémoc,19.41318,-99.16884,Private room,3308,1,0,,,2,354,0,
50169316,Deluxe Superior,404885958,Hippodrome,,Cuauhtémoc,19.41328,-99.16683,Private room,3527,1,4,2022-10-30,0.23,2,348,2,
50047448,"Lujosa Suite,  La joya escondida!!",168233210,Faby,,Cuauhtémoc,19.42255,-99.16885,Entire home/apt,1880,1,85,2022-12-22,4.45,1,134,63,
50048034,Cozy Apartment near Polanco,199021068,Daniela,,Miguel Hidalgo,19.44702,-99.18495,Entire home/apt,950,2,33,2022-12-04,1.86,1,79,19,
50171234,Cozy 1-bedroom loft/1 block US Embassy!,3426507,Rodolfo,,Cuauhtémoc,19.42478,-99.16717,Entire home/apt,873,1,32,2022-11-24,1.69,7,358,18,
50172317,Junior Suite Mala Vecindad Beer Hotel D CDMX,43955549,Inmense,,Cuauhtémoc,19.44066,-99.1551,Private room,693,1,12,2022-11-14,0.66,4,365,9,
49932507,"Enjoy Sunsets @NiuColiving, 1 Bedroom Apartment",46055644,Niu,,Benito Juárez,19.38793,-99.15006,Entire home/apt,1196,2,10,2022-11-28,0.52,20,21,4,
50049413,Brand New 3 BDRM Apartment in Vertiz Narvarte,53361285,Destination MX,,Benito Juárez,19.38581,-99.15729,Entire home/apt,1137,1,45,2022-11-30,2.35,38,358,35,
50049729,"Great view, big space, best location in MexicoCity",55822879,Verónica K,,Miguel Hidalgo,19.42436,-99.17801,Entire home/apt,2748,2,5,2022-12-10,2.46,1,176,5,
49944657,Spacious Loft w/ Amazing Park View In Santa Fe MX!,27547226,Porfirio,,Cuajimalpa de Morelos,19.360468,-99.268486,Entire home/apt,1443,3,12,2022-09-26,0.71,1,213,3,
49947822,Unbeatable location tiny apt in Condesa,50038378,Christian,,Cuauhtémoc,19.41271,-99.17113,Entire home/apt,999,2,34,2022-12-09,1.74,1,124,20,
50172639,Mi recamara amueblada en Roma Sur,379708818,Alexis Benjamin,,Cuauhtémoc,19.41851,-99.16106,Private room,399,5,2,2022-08-02,0.11,2,293,1,
50174732,Junior Suite Mala Vecindad Beer Hotel A CDMX,43955549,Inmense,,Cuauhtémoc,19.44062,-99.15422,Private room,693,1,10,2022-12-02,0.54,4,365,6,
50174862,Cómoda Habitación. Comfortable Room,115219835,Gómez,,Miguel Hidalgo,19.45065,-99.17018,Private room,260,1,25,2022-11-18,1.60,2,331,16,
50050343,☆☆☆☆☆ Casa Jaguar Designer Loft Roma Norte 🐆,5099382,Shane,,Cuauhtémoc,19.420549,-99.165115,Entire home/apt,1708,3,7,2022-07-08,0.37,1,0,4,
50175386,Junior Suite Mala Vecindad Beer Hotel B CDMX,43955549,Inmense,,Cuauhtémoc,19.4409,-99.15297,Private room,693,1,24,2022-12-11,1.26,4,365,15,
49948853,Hermosa vista arbolada,72179132,Tanya,,Coyoacán,19.35211,-99.14151,Entire home/apt,1167,30,0,,,2,365,0,
49949688,Hermoso PH con vista de terraza panorámica.,72179132,Tanya,,Coyoacán,19.35242,-99.14149,Entire home/apt,1944,90,0,,,2,363,0,
49950104,Departamento de los 70's en la ciudad de México,401730586,Alexis,,Cuauhtémoc,19.42792,-99.16699,Entire home/apt,850,5,0,,,1,0,0,
50051189,PENTHOUSE AMUEBLADO EN ZONA CENTRO,147626655,Andrea,,Cuauhtémoc,19.429073,-99.152542,Entire home/apt,3862,5,0,,,4,364,0,
50175411,"Recamara con baño y entrada independiente, con patio ideal para estudiantes muy bien ubicada poniente cdmx",258029082,Miriam Adriana,,Álvaro Obregón,19.38869,-99.20723,Private room,350,7,0,,,2,364,0,
50051234,Mr. W | Ritz Carlton | 50th Floor,10764020,Mr. W,,Miguel Hidalgo,19.42297,-99.17655,Entire home/apt,16525,2,1,2022-11-07,0.57,231,365,1,
50175728,Sweet Condesa | 2BR,10764020,Mr. W,,Cuauhtémoc,19.41468,-99.1747,Entire home/apt,2329,1,8,2022-11-19,0.44,231,365,4,
50052057,2 High-End Balconied Apts at Roma Norte/Condesa,114564195,Fernando,,Cuauhtémoc,19.4202,-99.1664,Entire home/apt,7037,1,16,2022-12-21,0.97,15,288,10,
49951426,ET_1307 LOFT Loft en Nuevo Polanco,206970565,Inmobiliaria ZAGO,,Miguel Hidalgo,19.44131,-99.18478,Entire home/apt,1403,3,28,2022-12-18,1.49,9,357,13,
50053207,Departamento completo en estratégica ubicación,252792637,Karla,,Cuauhtémoc,19.43326,-99.15995,Entire home/apt,1009,2,15,2022-12-22,0.86,3,303,13,
49953852,Departamento en Yecapixtla,339033841,Christian,,La Magdalena Contreras,19.318020459317513,-99.24487382142189,Entire home/apt,960,1,0,,,1,364,0,
49960140,Departamento en zona súper tranquila de la Ciudad,379888343,Marymar,,Benito Juárez,19.3989,-99.16308,Entire home/apt,1100,1,29,2022-12-09,1.50,18,222,27,
50176096,Suite #10 /Home Inn Suites Condesa / King Size Bed,396121636,Home Inn Suites Condesa,,Cuauhtémoc,19.41332,-99.16834,Private room,846,2,49,2022-12-08,2.64,11,140,32,
50178068,Departamento a minutos del centro de Coyoacán,133721663,María,,Coyoacán,19.33986,-99.1586,Entire home/apt,850,2,61,2022-12-13,3.25,2,354,43,
50054159,Cancelada esta casa,180345472,Arturo,,Álvaro Obregón,19.38358,-99.21418,Entire home/apt,10000,1,0,,,1,364,0,
